,EDO,DET.DIAB.15,DET.DIAB.18,DET.HIPT.15,DET.HIPT.18,DET.TOT.15,DET.TOT.18
0,AGUASCALIENTES,234123.0,194442.0,201410.0,185357.0,1229067.0,1070207.0
1,BAJA CALIFORNIA,582879.0,581767.0,566390.0,512157.0,3106261.0,2775290.0
2,BAJA CALIFORNIA SUR,73752.0,106368.0,97565.0,105735.0,597622.0,590918.0
3,CAMPECHE,67127.0,72631.0,85993.0,79592.0,554331.0,454911.0
4,COAHUILA,478300.0,578930.0,464005.0,528650.0,2830690.0,3095342.0
5,COLIMA,93374.0,110638.0,98868.0,108561.0,559042.0,573927.0
6,CHIAPAS,188511.0,195738.0,204783.0,185940.0,998778.0,982119.0
7,CHIHUAHUA,440178.0,388451.0,416534.0,348219.0,2469943.0,2087517.0
8,CIUDAD DE MÉXICO,1898146.0,2263376.0,1557804.0,1706648.0,8543030.0,8740991.0
9,DURANGO,215914.0,247689.0,199834.0,220172.0,1167398.0,1184376.0
10,GUANAJUATO,263252.0,327972.0,326205.0,340449.0,1962185.0,1927195.0
11,GUERRERO,178610.0,130607.0,183165.0,149926.0,1068519.0,767308.0
12,HIDALGO,142628.0,106400.0,166998.0,106540.0,955883.0,607880.0
13,JALISCO,1001923.0,1103796.0,969930.0,992035.0,5371616.0,5546445.0
14,MÉXICO,1481971.0,1424722.0,1585422.0,1265711.0,8259531.0,6902310.0
15,MICHOACÁN,307000.0,304821.0,287868.0,280214.0,1757748.0,1547139.0
16,MORELOS,105811.0,153693.0,111280.0,147855.0,649660.0,834148.0
17,NAYARIT,133951.0,105228.0,134709.0,101418.0,751208.0,577340.0
18,NUEVO LEÓN,1246983.0,1500597.0,1183004.0,1230481.0,6153203.0,6682492.0
19,OAXACA,118744.0,126014.0,133215.0,128741.0,709063.0,709908.0
20,PUEBLA,349825.0,422246.0,535152.0,411382.0,2593181.0,2270745.0
21,QUERÉTARO,176199.0,173383.0,186260.0,193087.0,1051502.0,1037001.0
22,QUINTANA ROO,129828.0,184179.0,153642.0,200660.0,844322.0,1054534.0
23,SAN LUIS POTOSÍ,289503.0,321246.0,306467.0,303288.0,1735559.0,1687380.0
24,SINALOA,415299.0,404599.0,369367.0,352352.0,2173691.0,1985019.0
25,SONORA,441915.0,388156.0,396684.0,354032.0,2443446.0,1970240.0
26,TABASCO,113499.0,140169.0,131834.0,150103.0,850112.0,851130.0
27,TAMAULIPAS,510867.0,501576.0,472063.0,441678.0,2612584.0,2451052.0
28,TLAXCALA,76751.0,99386.0,83669.0,89937.0,504474.0,514435.0
29,VERACRUZ,698323.0,705789.0,733536.0,683102.0,4371295.0,3772935.0
30,YUCATÁN,189396.0,217296.0,226953.0,231902.0,1165069.0,1230775.0
31,ZACATECAS,70501.0,74776.0,69607.0,66356.0,423167.0,380154.0
