Detección de padecimientos. Diabetes. Delegaciones,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,5185103,5230196,5361306,6194077,6790874,1851072,2721421,5484550,6908780,7455997,8730056,9970761,11203044,11903423,9972697,12715083,14360224,13883455,13656681
     Aguascalientes,67543,76375,77405,74338,74935,21357,29483,78604,133158,142229,178663,204349,225115,194036,179898,234123,228371,235856,194442
     Baja California,122240,123325,113658,178379,158505,42437,73488,206365,253983,226223,319744,390595,455190,418876,391975,582879,585283,657032,581767
     Baja California Sur,29843,34749,34263,38348,89279,13408,21050,43319,65500,67682,94018,94020,96659,102908,74061,73752,105938,97552,106368
     Campeche,41807,41366,46574,53694,63447,13777,24160,29228,20968,21644,37900,39585,44519,58167,55157,67127,108251,91410,72631
     Coahuila ,179643,224937,219128,266316,363994,92649,119856,235882,284550,285000,359312,404104,421009,435345,379859,478300,536878,559638,578930
     Colima,42920,46691,39286,38906,44102,13492,21803,39648,50894,54534,68680,74517,79651,66771,66589,93374,107724,113770,110638
     Chiapas,82796,75049,76566,75491,58580,14784,35600,111003,133367,145137,138197,137115,133917,126406,109383,188511,212872,214459,195738
     Chihuahua,199771,208851,251252,244106,338580,93994,119561,219450,255615,294810,306279,417307,498673,471558,433229,440178,517195,461898,388451
     D.F. Norte,354907,315949,338199,363258,466068,152312,165610,306585,538893,490191,518933,533348,603380,760758,697475,1028326,1005516,1022248,1065473
     D.F. Sur,365979,418975,432112,453825,309819,111194,155963,300465,381977,626424,607441,724918,767473,1050163,771274,869820,1246428,1189163,1197903
     Durango,98464,105907,105794,134825,118771,30547,41499,103150,115408,156244,204610,273611,283323,291250,193841,215914,236980,232286,247689
     Guanajuato,228811,253986,218135,240753,238961,65203,132370,242532,238322,314975,331682,319572,352057,327014,230340,263252,368795,307771,327972
     Guerrero,79404,85526,113091,102630,118622,48952,68286,121102,126024,139157,141208,133297,127938,131882,128058,178610,189668,122614,130607
     Hidalgo,57664,60291,54763,143999,75648,22981,38248,76123,81043,80566,98110,118085,132800,135337,124510,142628,153988,129073,106400
     Jalisco,363714,353475,320156,386968,488321,128065,211503,499633,642554,544893,699100,853525,972370,1020871,866436,1001923,1034163,1065592,1103796
     México Oriente,377767,371436,467767,359250,450855,136785,212485,458561,512808,584732,749191,975777,1147800,1220308,850303,976338,1059507,904002,867262
     México Poniente,214933,263898,252683,362001,208583,52521,77611,193512,215377,254783,326473,361461,506603,493844,457491,505633,479156,546090,557460
     Michoacán,131023,130482,124015,173994,170582,54767,81738,182762,222616,203941,197320,196263,223777,211789,196231,307000,374715,334401,304821
     Morelos,90151,76926,80464,91569,106465,28522,43161,83713,90289,120891,165798,181640,186949,176208,129292,105811,169177,135485,153693
     Nayarit,44770,59761,37094,38870,29875,14270,32907,66401,62861,58486,77680,104982,106980,103376,107023,133951,139909,119736,105228
     Nuevo León,414512,398720,405432,522584,539394,134003,196877,296307,466138,560261,713330,865816,996724,1211010,1011234,1246983,1392412,1512199,1500597
     Oaxaca,70951,77993,73374,59226,76650,17188,27208,57414,67711,70601,94130,114745,122916,112501,103598,118744,135721,131377,126014
     Puebla,194299,175935,138801,150251,290450,58889,77829,151475,222817,268833,254973,252665,292179,266187,239675,349825,451941,441609,422246
     Querétaro,64929,63005,73942,139095,158768,34419,46806,114698,172443,144821,155788,135300,122682,156711,100456,176199,201159,182286,173383
     Quintana Roo,52489,33942,43530,68408,111251,15432,28354,55508,48227,59540,71907,56125,69116,75991,73046,129828,207747,174234,184179
     San Luis Potosí,60937,65122,117498,107291,145502,37809,44652,135611,168779,144023,153837,181273,190356,190933,244569,289503,343432,342961,321246
     Sinaloa,219987,193680,171939,187831,302588,78712,107343,159611,194429,238812,303134,422212,451371,464545,317299,415299,452453,415313,404599
     Sonora,136037,113616,139717,188747,130045,43419,76606,178656,225624,257215,259391,333229,363370,352556,293261,441915,455628,440156,388156
     Tabasco,50235,54479,61908,65241,41517,12858,23383,33611,36710,36379,38834,43126,58873,67947,60665,113499,190410,153717,140169
     Tamaulipas,221992,226094,237023,260945,229312,47432,83731,171559,231250,238917,318563,286918,315124,380147,371851,510867,571272,483118,501576
     Tlaxcala,41538,45091,51927,45317,44448,11198,16765,45357,51438,51693,55483,57895,61347,60459,61870,76751,104323,88608,99386
     Veracruz Norte,163354,150220,150609,189470,282671,71687,108037,222551,286060,269833,321945,316585,351158,367599,309287,501352,505955,545500,525493
     Veracruz Sur,158304,135514,111079,184734,268737,75235,86261,115955,130405,102804,144478,152336,182400,142265,120891,196971,185746,167643,180296
     Yucatán,115214,119281,129223,156252,151960,42288,67405,108336,137939,149361,163850,158040,202579,204450,170555,189396,237037,193051,217296
     Zacatecas,46175,49549,52899,47165,43589,18486,23782,39863,42603,50362,60074,56425,56666,53255,52015,70501,64474,71607,74776
